dim,n_collocation,n_params,epochs,train_time_mean_s,inference_time_s,energy_error_mean,energy_error_std,energy_error_min,n_seeds
1,2000,8514,1200,9.310750625333336,0.0014927629999874625,0.03996612628300985,0.008676395483244356,0.029453933238983154,3
2,2000,8578,1200,14.268784297666722,0.0015034109999305656,0.30279695987701416,0.027895013815798075,0.2640688419342041,3
3,2000,8642,1200,20.935220917,0.001443978999986939,0.14341338475545248,0.06881710456345641,0.08500897884368896,3
4,2000,8706,1200,45.219995200999925,0.0014517039999191184,0.8579752842585245,0.0006153866519642315,0.857105016708374,3
