n_data,V_rel_error_mean,V_rel_error_std,V_rel_error_min,psi_l2_error_mean,n_seeds
10,0.339051422787112,0.007262080838966206,0.3311443843202716,0.05551285943449525,3
25,0.3086492732701137,0.03652393647270091,0.2590337106813839,0.041216641414163785,3
50,0.31045208244076655,0.030802101633992485,0.26804786351518883,0.04286128736802569,3
100,0.28527227319799603,0.012381582105568957,0.2735233804279611,0.032355326360573464,3
