lambda,E_fdm,E_pinn,energy_error,wavefn_l2_error
0.0125,0.5089705178335074,0.517551579123851,0.008581061290343528,0.06292461625051085
0.037500000000000006,0.5251838221346928,0.5307343618355762,0.005550539700883372,0.04825078268074699
0.0625,0.5396691082185996,0.5432801807149266,0.0036110724963269725,0.03715470292570362
0.08750000000000001,0.5528838282081043,0.5552413926672137,0.002357564459109396,0.028417621249878705
0.1125,0.5651072872930079,0.5666663995503616,0.001559112257353723,0.021399274773174534
0.1375,0.5765268622819726,0.5775999574477901,0.0010730951658175503,0.015756696325631515
0.16250000000000003,0.5872762603681595,0.5880834041314271,0.0008071437632676259,0.011373060698040187
0.1875,0.5974551969240294,0.5981549273927755,0.0006997304687461625,0.008399613622505932
0.21250000000000002,0.6071405596963187,0.6078498180380627,0.0007092583417439569,0.007225541811211937
0.2375,0.6163932089127098,0.6172006567089687,0.0008074477962589643,0.007830544765754828
0.2625,0.6252623499169484,0.6262375771447755,0.000975227227827058,0.00944183919229422
0.28750000000000003,0.6337884682140911,0.634988447696563,0.001199979482471969,0.011391274263661308
0.3125,0.6420053696396895,0.6434790662281822,0.0014736965884927233,0.013382406855035096
0.3375,0.6499416403160565,0.6517333972159245,0.0017917568998679911,0.015308314791813316
0.36250000000000004,0.6576217174180983,0.6597736932622157,0.0021519758441174153,0.017135620423640682
0.3875,0.6650666912394202,0.6676207499636821,0.002554058724261954,0.018859224601534476
0.41250000000000003,0.6722949170960446,0.6752940065259301,0.002999089429885471,0.020485104232431255
0.4375,0.6793224897071221,0.6828118023911753,0.0034893126840532807,0.022023435516849918
0.4625,0.6861636162255421,0.690191466697345,0.004027850471802874,0.023485703587352795
0.48750000000000004,0.6928309133088106,0.6974495378582293,0.004618624549418637,0.02488345954774885
