n,dx,E0,energy_error,runtime_s
50,0.24489795918367374,0.49811867519144687,0.0018813248085531309,0.004232887999933155
100,0.1212121212121211,0.49954044039777656,0.00045955960222343606,0.0034865430002355424
200,0.06030150753768826,0.4998863406631204,0.00011365933687962348,0.007460057000116649
400,0.030075187969925032,0.49997173224765545,2.826775234454626e-05,0.01916038400031539
800,0.015018773466833224,0.49999295103897085,7.048961029154643e-06,0.10117093700000623
1600,0.0075046904315199114,0.4999982399812331,1.7600187668942446e-06,0.40066620500010686
3200,0.0037511722413254844,0.49999956027238623,4.397276137657613e-07,2.6036100530000112
